Date,index_return,index_level
2025-04-15,0.006340495470487785,837.2330516661507
2025-04-16,-0.028065226202119955,813.735916687249
2025-04-17,-0.00452075591672254,810.0572152272355
2025-04-21,-0.04037961828451117,777.3474140877456
2025-04-22,0.014369874798534856,788.5177991031513
2025-04-23,0.04026735930326388,820.2693286366567
2025-04-24,0.04332896968416684,855.8107535100063
2025-04-25,0.00982516991151592,864.2192395753445
2025-04-28,0.01363586110474643,876.0036130902436
2025-04-29,-0.001782992928050964,874.4417048431566
2025-04-30,-0.010830887139402412,864.9707254280137
2025-05-01,0.018889305186617446,881.3094214381133
2025-05-02,0.036390753797617414,913.3809356131883
2025-05-05,-0.004336196288265071,909.4203365904103
2025-05-06,-0.0051975515434938505,904.6935775162801
2025-05-07,0.0004907773574456712,905.1375806395516
2025-05-08,0.01807964180747238,921.502143883997
2025-05-09,-0.011462676493063373,910.9392629209904
2025-05-12,0.03664066602808377,944.3166842255472
2025-05-13,0.0026647061819839108,946.8330107317537
2025-05-14,0.03265674573694203,977.7534956185639
2025-05-15,0.0008846108910431241,978.6184270095436
2025-05-16,0.04837653733343701,1025.9605978789602
2025-05-19,-0.016259129217729918,1009.2793719457468
2025-05-20,-0.004786420342714349,1004.4485366283836
2025-05-21,-0.019469420954119368,984.8925052420165
2025-05-22,0.023665127897663386,1008.2001123440189
2025-05-23,-0.010290093375028054,997.8256390472851
2025-05-27,0.0340308602397285,1031.782503913321
2025-05-28,-0.00942956680753977,1022.0532418618197
2025-05-29,-0.01012222091338917,1011.7077931624488
2025-05-30,-0.009778681759118847,1001.8146246198927
2025-06-02,0.008919404590666091,1010.7502145817236
2025-06-03,0.01047564615268838,1021.3384761784357
2025-06-04,0.02413740294864455,1045.990934524909
2025-06-05,-0.0012961810787650242,1044.6351408670182
2025-06-06,0.02603066232023099,1071.8276854667747
2025-06-09,0.02847107082933104,1102.343767416537
2025-06-10,-0.0051361168998820365,1096.6820009632293
2025-06-11,-0.006102491376097119,1089.9895085100302
2025-06-12,-0.001522553050372366,1088.3299416589743
2025-06-13,-0.005568108229784686,1082.2700027541018
2025-06-16,0.021955527270496468,1106.03181131361
2025-06-17,-0.010979029086570603,1093.8886558865256
2025-06-18,0.017321245948847652,1112.8361703357905
2025-06-20,0.003432220869335568,1116.6556698637685
2025-06-23,0.02452251360796827,1144.0388737234177
2025-06-24,0.015895106546485828,1162.2234935145732
2025-06-25,-0.004914746505950907,1156.5114596606884
2025-06-26,0.022947413905111937,1183.0504068115274
2025-06-27,-0.0010931760142473546,1181.7571244831554
2025-06-30,-0.005691758891803666,1175.030847861926
2025-07-01,-0.012628468275960281,1160.192008076427
2025-07-02,0.013045849504458619,1175.3276984100678
2025-07-03,0.00675922871157424,1183.2720071346696
2025-07-07,0.008047841825414815,1192.7947930845305
2025-07-08,-0.0022262273065952855,1190.139360745001
2025-07-09,0.00425397679098486,1195.202185963648
2025-07-10,0.0076746570005878706,1204.3749527872717
2025-07-11,0.002983091371144842,1207.9677133165544
2025-07-14,0.022485278896559793,1235.1292042485165
2025-07-15,0.01013839940825574,1247.6514374419892
2025-07-16,0.012154899695206712,1262.816515518677
2025-07-17,0.03779561251491531,1310.5454392166564
2025-07-18,0.0070699518432265525,1319.8109323602782
